ENSG00000196966	HIST1H3E
ENSG00000178934	LGALS7B
ENSG00000175928	LRRN1
ENSG00000136261	BZW2
ENSG00000111913	FAM65B
ENSG00000211663	IGLV3-19
ENSG00000163739	CXCL1
ENSG00000211771	TRBJ2-7
ENSG00000089327	FXYD5
ENSG00000159958	TNFRSF13C
ENSG00000267383	CTC-260E6
ENSG00000124440	HIF3A
ENSG00000136378	ADAMTS7
ENSG00000130182	ZSCAN10
ENSG00000115363	EVA1A
ENSG00000146592	CREB5
ENSG00000164251	F2RL1
ENSG00000077782	FGFR1
ENSG00000198624	CCDC69
ENSG00000156453	PCDH1
ENSG00000185745	IFIT1
ENSG00000249532	RP11-148B6
ENSG00000176720	BOK
ENSG00000211973	IGHV1-69
ENSG00000133636	NTS
ENSG00000163453	IGFBP7
ENSG00000196781	TLE1
ENSG00000115461	IGFBP5
ENSG00000198467	TPM2
ENSG00000186081	KRT5
ENSG00000003436	TFPI
ENSG00000112149	CD83
ENSG00000167600	CYP2S1
ENSG00000105290	APLP1
ENSG00000145555	MYO10
ENSG00000122786	CALD1
ENSG00000072195	SPEG
ENSG00000102024	PLS3
ENSG00000154016	GRAP
ENSG00000241484	ARHGAP8
ENSG00000234787	LINC00458
ENSG00000254339	RP11-267L5
ENSG00000244437	IGKV3-15
ENSG00000110148	CCKBR
ENSG00000240505	TNFRSF13B
ENSG00000171611	PTCRA
ENSG00000112559	MDFI
ENSG00000110492	MDK
ENSG00000177469	PTRF
ENSG00000166863	TAC3
ENSG00000176046	NUPR1
ENSG00000174498	IGDCC3
ENSG00000154856	APCDD1
ENSG00000008323	PLEKHG6
ENSG00000129521	EGLN3
ENSG00000128656	CHN1
ENSG00000091409	ITGA6
ENSG00000226887	ERVMER34-1
ENSG00000143375	CGN
ENSG00000232810	TNF
ENSG00000155465	SLC7A7
ENSG00000137573	SULF1
ENSG00000142089	IFITM3
ENSG00000169508	GPR183
ENSG00000157827	FMNL2
ENSG00000111348	ARHGDIB
ENSG00000076706	MCAM
ENSG00000105289	TJP3
ENSG00000073792	IGF2BP2
ENSG00000130635	COL5A1
ENSG00000120949	TNFRSF8
ENSG00000196735	HLA-DQA1
ENSG00000108691	CCL2
ENSG00000108798	ABI3
ENSG00000162777	DENND2D
ENSG00000185507	IRF7
ENSG00000157368	IL34
ENSG00000131914	LIN28A
ENSG00000185483	ROR1
ENSG00000136286	MYO1G
ENSG00000196739	COL27A1
ENSG00000196092	PAX5
ENSG00000100033	PRODH
ENSG00000129951	LPPR3
ENSG00000106853	PTGR1
ENSG00000162551	ALPL
ENSG00000173200	PARP15
ENSG00000125089	SH3TC1
ENSG00000164176	EDIL3
ENSG00000173267	SNCG
ENSG00000105122	RASAL3
ENSG00000139193	CD27
ENSG00000150093	ITGB1
ENSG00000150938	CRIM1
ENSG00000167851	CD300A
ENSG00000211956	IGHV4-34
ENSG00000163154	TNFAIP8L2
ENSG00000169750	RAC3
ENSG00000169245	CXCL10
ENSG00000130294	KIF1A
ENSG00000115457	IGFBP2
ENSG00000137959	IFI44L
ENSG00000165349	SLC7A3
ENSG00000163513	TGFBR2
ENSG00000224389	C4B
ENSG00000087258	GNAO1
ENSG00000087510	TFAP2C
ENSG00000130513	GDF15
ENSG00000204381	LAYN
ENSG00000115165	CYTIP
ENSG00000155849	ELMO1
ENSG00000178053	MLF1
ENSG00000111077	TNS2
ENSG00000254285	KRT8P3
ENSG00000100842	EFS
ENSG00000158517	NCF1
ENSG00000162511	LAPTM5
ENSG00000152894	PTPRK
ENSG00000123560	PLP1
ENSG00000183098	GPC6
ENSG00000011105	TSPAN9
ENSG00000205436	EXOC3L4
ENSG00000049323	LTBP1
ENSG00000116285	ERRFI1
ENSG00000054793	ATP9A
ENSG00000134198	TSPAN2
ENSG00000244116	IGKV2-28
ENSG00000270704	RP11-701H24
ENSG00000166780	C16orf45
ENSG00000182179	UBA7
ENSG00000189060	H1F0
ENSG00000168824	D4S234E
ENSG00000134873	CLDN10
ENSG00000206337	HCP5
ENSG00000108679	LGALS3BP
ENSG00000135111	TBX3
ENSG00000239713	APOBEC3G
ENSG00000168685	IL7R
ENSG00000182866	LCK
ENSG00000103067	ESRP2
ENSG00000140545	MFGE8
ENSG00000160593	AMICA1
ENSG00000083307	GRHL2
ENSG00000166501	PRKCB
ENSG00000131981	LGALS3
ENSG00000167861	HID1
ENSG00000052126	PLEKHA5
ENSG00000159217	IGF2BP1
ENSG00000143776	CDC42BPA
ENSG00000104067	TJP1
ENSG00000170485	NPAS2
ENSG00000061676	NCKAP1
ENSG00000214548	MEG3
ENSG00000137752	CASP1
ENSG00000175707	KDF1
ENSG00000108622	ICAM2
ENSG00000005844	ITGAL
ENSG00000213402	PTPRCAP
ENSG00000010610	CD4
ENSG00000128739	SNRPN
ENSG00000230798	FOXD3-AS1
ENSG00000172349	IL16
ENSG00000112186	CAP2
ENSG00000124875	CXCL6
ENSG00000092096	SLC22A17
ENSG00000109099	PMP22
ENSG00000060656	PTPRU
ENSG00000141934	PPAP2C
ENSG00000173762	CD7
ENSG00000001617	SEMA3F
ENSG00000204287	HLA-DRA
ENSG00000173898	SPTBN2
ENSG00000175899	A2M
ENSG00000136830	FAM129B
ENSG00000142798	HSPG2
ENSG00000168938	PPIC
ENSG00000165949	IFI27
ENSG00000130558	OLFM1
ENSG00000215788	TNFRSF25
ENSG00000123338	NCKAP1L
ENSG00000218336	TENM3
ENSG00000121570	DPPA4
ENSG00000122224	LY9
ENSG00000166681	NGFRAP1
ENSG00000136040	PLXNC1
ENSG00000100196	KDELR3
ENSG00000164904	ALDH7A1
ENSG00000149294	NCAM1
ENSG00000225889	AC074289
ENSG00000105971	CAV2
ENSG00000141696	P3H4
ENSG00000156925	ZIC3
ENSG00000122986	HVCN1
ENSG00000167291	TBC1D16
ENSG00000132530	XAF1
ENSG00000105255	FSD1
ENSG00000131142	CCL25
ENSG00000116729	WLS
ENSG00000104903	LYL1
ENSG00000143248	RGS5
ENSG00000107738	C10orf54
ENSG00000185274	WBSCR17
ENSG00000072818	ACAP1
ENSG00000147676	MAL2
ENSG00000117122	MFAP2
ENSG00000250155	CTD-2353F22
ENSG00000129465	RIPK3
ENSG00000114019	AMOTL2
ENSG00000130203	APOE
ENSG00000142549	IGLON5
ENSG00000134363	FST
ENSG00000138623	SEMA7A
ENSG00000185664	PMEL
ENSG00000243709	LEFTY1
ENSG00000119782	FKBP1B
ENSG00000169499	PLEKHA2
ENSG00000187678	SPRY4
ENSG00000154553	PDLIM3
ENSG00000239961	LILRA4
ENSG00000141506	PIK3R5
ENSG00000137868	STRA6
ENSG00000102935	ZNF423
ENSG00000078114	NEBL
ENSG00000167680	SEMA6B
ENSG00000225783	MIAT
ENSG00000125245	GPR18
ENSG00000118298	CA14
ENSG00000082781	ITGB5
ENSG00000113594	LIFR
ENSG00000196189	SEMA4A
ENSG00000144730	IL17RD
ENSG00000197702	PARVA
ENSG00000101017	CD40
ENSG00000179361	ARID3B
ENSG00000169894	MUC3A
ENSG00000102879	CORO1A
ENSG00000139194	RBP5
ENSG00000111341	MGP
ENSG00000105974	CAV1
ENSG00000140379	BCL2A1
ENSG00000104881	PPP1R13L
ENSG00000100292	HMOX1
ENSG00000166025	AMOTL1
ENSG00000185862	EVI2B
ENSG00000101000	PROCR
ENSG00000137831	UACA
ENSG00000133561	GIMAP6
ENSG00000129116	PALLD
ENSG00000124839	RAB17
ENSG00000182326	C1S
ENSG00000145642	FAM159B
ENSG00000091986	CCDC80
ENSG00000116667	C1orf21
ENSG00000068831	RASGRP2
ENSG00000152952	PLOD2
ENSG00000250366	TUNAR
ENSG00000179403	VWA1
ENSG00000169413	RNASE6
ENSG00000184363	PKP3
ENSG00000149257	SERPINH1
ENSG00000182963	GJC1
ENSG00000243466	IGKV1-5
ENSG00000261040	WFDC21P
ENSG00000157992	KRTCAP3
ENSG00000188112	C6orf132
ENSG00000197321	SVIL
ENSG00000106789	CORO2A
ENSG00000174469	CNTNAP2
ENSG00000109501	WFS1
ENSG00000171345	KRT19
ENSG00000154639	CXADR
ENSG00000122862	SRGN
ENSG00000109654	TRIM2
ENSG00000162105	SHANK2
ENSG00000172889	EGFL7
ENSG00000184613	NELL2
ENSG00000145808	ADAMTS19
ENSG00000140600	SH3GL3
ENSG00000133169	BEX1
ENSG00000154930	ACSS1
ENSG00000213988	ZNF90
ENSG00000132613	MTSS1L
ENSG00000087842	PIR
ENSG00000095637	SORBS1
ENSG00000136943	CTSV
ENSG00000166173	LARP6
ENSG00000181019	NQO1
ENSG00000122378	FAM213A
ENSG00000126860	EVI2A
ENSG00000243238	IGKV2-30
ENSG00000224078	SNHG14
ENSG00000067113	PPAP2A
ENSG00000081189	MEF2C
ENSG00000233098	CCDC144NL-AS1
ENSG00000229415	SFTA3
ENSG00000125266	EFNB2
ENSG00000177426	TGIF1
ENSG00000204525	HLA-C
ENSG00000168081	PNOC
ENSG00000003249	DBNDD1
ENSG00000147596	PRDM14
ENSG00000100060	MFNG
ENSG00000104267	CA2
ENSG00000143819	EPHX1
ENSG00000137285	TUBB2B
ENSG00000011201	ANOS1
ENSG00000184584	TMEM173
ENSG00000126878	AIF1L
ENSG00000185842	DNAH14
ENSG00000130755	GMFG
ENSG00000066294	CD84
ENSG00000120708	TGFBI
ENSG00000179820	MYADM
ENSG00000105137	SYDE1
ENSG00000182175	RGMA
ENSG00000168484	SFTPC
ENSG00000248746	ACTN3
ENSG00000164591	MYOZ3
ENSG00000204711	C9orf135
ENSG00000211592	IGKC
ENSG00000175857	GAPT
ENSG00000136014	USP44
ENSG00000010327	STAB1
ENSG00000143119	CD53
ENSG00000186310	NAP1L3
ENSG00000140968	IRF8
ENSG00000123146	ADGRE5
ENSG00000144935	TRPC1
ENSG00000162738	VANGL2
ENSG00000188643	S100A16
ENSG00000211959	IGHV4-39
ENSG00000267121	CTD-2020K17
ENSG00000125144	MT1G
ENSG00000197629	MPEG1
ENSG00000159189	C1QC
ENSG00000141753	IGFBP4
ENSG00000167083	GNGT2
ENSG00000110848	CD69
ENSG00000241697	TMEFF1
ENSG00000254709	IGLL5
ENSG00000089820	ARHGAP4
ENSG00000117322	CR2
ENSG00000111057	KRT18
ENSG00000175097	RAG2
ENSG00000136931	NR5A1
ENSG00000180353	HCLS1
ENSG00000268027	AC006129
ENSG00000170558	CDH2
ENSG00000167191	GPRC5B
ENSG00000184697	CLDN6
ENSG00000013588	GPRC5A
ENSG00000162576	MXRA8
ENSG00000128218	VPREB3
ENSG00000104723	TUSC3
ENSG00000115380	EFEMP1
ENSG00000168071	CCDC88B
ENSG00000211895	IGHA1
ENSG00000165457	FOLR2
ENSG00000116701	NCF2
ENSG00000150760	DOCK1
ENSG00000105426	PTPRS
ENSG00000186642	PDE2A
ENSG00000211949	IGHV3-23
ENSG00000073712	FERMT2
ENSG00000166086	JAM3
ENSG00000115232	ITGA4
ENSG00000066923	STAG3
ENSG00000111752	PHC1
ENSG00000116016	EPAS1
ENSG00000137843	PAK6
ENSG00000130702	LAMA5
ENSG00000121895	TMEM156
ENSG00000254726	MEX3A
ENSG00000250722	SEPP1
ENSG00000186818	LILRB4
ENSG00000249790	RP11-20D14
ENSG00000134028	ADAMDEC1
ENSG00000253507	CTD-2501M5
ENSG00000000003	TSPAN6
ENSG00000131002	TXLNGY
ENSG00000204531	POU5F1
ENSG00000141736	ERBB2
ENSG00000113269	RNF130
ENSG00000169908	TM4SF1
ENSG00000118523	CTGF
ENSG00000019144	PHLDB1
ENSG00000163032	VSNL1
ENSG00000185811	IKZF1
ENSG00000088756	ARHGAP28
ENSG00000173281	PPP1R3B
ENSG00000251546	IGKV1D-39
ENSG00000101955	SRPX
ENSG00000161714	PLCD3
ENSG00000138795	LEF1
ENSG00000112137	PHACTR1
ENSG00000213949	ITGA1
ENSG00000211938	IGHV3-7
ENSG00000088305	DNMT3B
ENSG00000023892	DEF6
ENSG00000167105	TMEM92
ENSG00000168394	TAP1
ENSG00000186517	ARHGAP30
ENSG00000145681	HAPLN1
ENSG00000211640	IGLV6-57
ENSG00000114270	COL7A1
ENSG00000176387	HSD11B2
ENSG00000198959	TGM2
ENSG00000198502	HLA-DRB5
ENSG00000104894	CD37
ENSG00000065413	ANKRD44
ENSG00000174669	SLC29A2
ENSG00000105699	LSR
ENSG00000128284	APOL3
ENSG00000147257	GPC3
ENSG00000132688	NES
ENSG00000139044	B4GALNT3
ENSG00000066629	EML1
ENSG00000064687	ABCA7
ENSG00000233864	TTTY15
ENSG00000223756	TSSC2
ENSG00000079263	SP140
ENSG00000177675	CD163L1
ENSG00000091513	TF
ENSG00000107186	MPDZ
ENSG00000125637	PSD4
ENSG00000176532	PRR15
ENSG00000161405	IKZF3
ENSG00000006327	TNFRSF12A
ENSG00000188404	SELL
ENSG00000148516	ZEB1
ENSG00000196141	SPATS2L
ENSG00000143842	SOX13
ENSG00000109625	CPZ
ENSG00000069482	GAL
ENSG00000109576	AADAT
ENSG00000107562	CXCL12
ENSG00000198722	UNC13B
ENSGR0000182162	P2RY8
ENSG00000172116	CD8B
ENSG00000154237	LRRK1
ENSG00000092445	TYRO3
ENSG00000134352	IL6ST
ENSG00000102755	FLT1
ENSG00000165246	NLGN4Y
ENSG00000136848	DAB2IP
ENSG00000173467	AGR3
ENSG00000116824	CD2
ENSG00000012779	ALOX5
ENSG00000134207	SYT6
ENSG00000225972	MTND1P23
ENSG00000100351	GRAP2
ENSG00000150471	ADGRL3
ENSG00000176485	PLA2G16
ENSG00000185847	LINC01405
ENSG00000153714	LURAP1L
ENSG00000142583	SLC2A5
ENSG00000102524	TNFSF13B
ENSG00000213928	IRF9
ENSG00000211597	IGKJ1
ENSG00000168280	KIF5C
ENSG00000166278	C2
ENSG00000147168	IL2RG
ENSG00000127920	GNG11
ENSG00000129354	AP1M2
ENSG00000118898	PPL
ENSG00000183853	KIRREL
ENSG00000139289	PHLDA1
ENSG00000256514	AP003419
ENSG00000214212	C19orf38
ENSG00000139278	GLIPR1
ENSG00000166211	SPIC
ENSG00000197594	ENPP1
ENSG00000179046	TRIML2
ENSG00000170561	IRX2
ENSG00000188060	RAB42
ENSG00000114013	CD86
ENSG00000146072	TNFRSF21
ENSG00000171680	PLEKHG5
ENSG00000108830	RND2
ENSG00000143297	FCRL5
ENSG00000054219	LY75
ENSG00000169604	ANTXR1
ENSG00000106070	GRB10
ENSG00000167779	IGFBP6
ENSG00000060558	GNA15
ENSG00000137965	IFI44
ENSG00000083454	P2RX5
ENSG00000104728	ARHGEF10
ENSG00000154380	ENAH
ENSG00000187912	CLEC17A
ENSG00000067715	SYT1
ENSG00000003402	CFLAR
ENSG00000234883	MIR155HG
ENSG00000139329	LUM
ENSG00000121966	CXCR4
ENSG00000130208	APOC1
ENSG00000046653	GPM6B
ENSG00000095596	CYP26A1
ENSG00000120885	CLU
ENSG00000140092	FBLN5
ENSG00000211637	IGLV4-69
ENSG00000255794	RMST
ENSG00000242574	HLA-DMB
ENSG00000178199	ZC3H12D
ENSG00000154165	GPR15
ENSG00000165821	SALL2
ENSG00000143126	CELSR2
ENSG00000167207	NOD2
ENSG00000140479	PCSK6
ENSG00000110077	MS4A6A
ENSG00000104332	SFRP1
ENSG00000162878	PKDCC
ENSG00000240065	PSMB9
ENSG00000204261	PSMB8-AS1
ENSG00000128604	IRF5
ENSG00000204252	HLA-DOA
ENSG00000123094	RASSF8
ENSG00000176834	VSIG10
ENSG00000169710	FASN
ENSG00000156738	MS4A1
ENSG00000158473	CD1D
ENSG00000152661	GJA1
ENSG00000223572	CKMT1A
ENSG00000112319	EYA4
ENSG00000144645	OSBPL10
ENSG00000144724	PTPRG
ENSG00000167483	FAM129C
ENSG00000121691	CAT
ENSG00000211706	TRBV6-1
ENSG00000128965	CHAC1
ENSG00000270505	IGHV1OR15-1
ENSG00000114115	RBP1
ENSG00000132465	JCHAIN
ENSG00000211955	IGHV3-33
ENSG00000112414	ADGRG6
ENSG00000196557	CACNA1H
ENSG00000186174	BCL9L
ENSG00000138185	ENTPD1
ENSG00000162493	PDPN
ENSG00000100985	MMP9
ENSG00000175183	CSRP2
ENSG00000156475	PPP2R2B
ENSG00000159388	BTG2
ENSG00000136854	STXBP1
ENSG00000122122	SASH3
ENSG00000064763	FAR2
ENSG00000104369	JPH1
ENSG00000196684	HSH2D
ENSG00000177455	CD19
ENSG00000211445	GPX3
ENSG00000134871	COL4A2
ENSG00000075884	ARHGAP15
ENSG00000020633	RUNX3
ENSG00000100721	TCL1A
ENSG00000135919	SERPINE2
ENSG00000123080	CDKN2C
ENSG00000236673	RP11-69I8
ENSG00000174938	SEZ6L2
ENSG00000116661	FBXO2
ENSG00000169855	ROBO1
ENSG00000216490	IFI30
ENSG00000102962	CCL22
ENSG00000130592	LSP1
ENSG00000268119	CTD-2561J22
ENSG00000053438	NNAT
ENSG00000181588	MEX3D
ENSG00000102804	TSC22D1
ENSG00000177707	PVRL3
ENSG00000197943	PLCG2
ENSG00000178860	MSC
ENSG00000146648	EGFR
ENSG00000009790	TRAF3IP3
ENSG00000173369	C1QB
ENSG00000164142	FAM160A1
ENSG00000082458	DLG3
ENSG00000088882	CPXM1
ENSG00000187244	BCAM
ENSG00000013725	CD6
ENSG00000104413	ESRP1
ENSG00000109084	TMEM97
ENSG00000108950	FAM20A
ENSG00000197461	PDGFA
ENSG00000145365	TIFA
ENSG00000172830	SSH3
ENSG00000265992	ESRG
ENSG00000168878	SFTPB
ENSG00000167208	SNX20
ENSG00000120156	TEK
ENSG00000107130	NCS1
ENSG00000196562	SULF2
ENSG00000153029	MR1
ENSG00000124570	SERPINB6
ENSG00000137501	SYTL2
ENSG00000122642	FKBP9
ENSG00000124225	PMEPA1
ENSG00000110777	POU2AF1
ENSG00000156234	CXCL13
ENSG00000166145	SPINT1
ENSG00000197077	KIAA1671
ENSG00000152767	FARP1
ENSG00000165238	WNK2
ENSG00000150637	CD226
ENSG00000100368	CSF2RB
ENSG00000155760	FZD7
ENSG00000081059	TCF7
ENSG00000100167	SEPT3
ENSG00000211660	IGLV2-23
ENSG00000081320	STK17B
